"qg","N","w1","w2","w3","w4","prob"
"going to be there",5,"going","to","be","there",2.1399034646749e-06
"going to be very",7,"going","to","be","very",2.99586485054486e-06
"going to do a",5,"going","to","do","a",2.1399034646749e-06
"going to do it",7,"going","to","do","it",2.99586485054486e-06
"going to get a",5,"going","to","get","a",2.1399034646749e-06
"going to get my",6,"going","to","get","my",2.56788415760988e-06
"going to get worse",5,"going","to","get","worse",2.1399034646749e-06
"going to go to",5,"going","to","go","to",2.1399034646749e-06
"going to have a",17,"going","to","have","a",7.27567177989467e-06
"going to have to",39,"going","to","have","to",1.66912470244642e-05
"going to make it",7,"going","to","make","it",2.99586485054486e-06
"going to put the",5,"going","to","put","the",2.1399034646749e-06
"going to see a",7,"going","to","see","a",2.99586485054486e-06
"going to take a",7,"going","to","take","a",2.99586485054486e-06
"going to try and",5,"going","to","try","and",2.1399034646749e-06
"going to try to",6,"going","to","try","to",2.56788415760988e-06
"going to want to",6,"going","to","want","to",2.56788415760988e-06
"gone are the days",5,"gone","are","the","days",2.1399034646749e-06
"gonna be a good",5,"gonna","be","a","good",2.1399034646749e-06
"good luck to all",5,"good","luck","to","all",2.1399034646749e-06
"good luck with that",6,"good","luck","with","that",2.56788415760988e-06
"good luck with the",7,"good","luck","with","the",2.99586485054486e-06
"good things come to",5,"good","things","come","to",2.1399034646749e-06
"good to be true",5,"good","to","be","true",2.1399034646749e-06
"good to see you",14,"good","to","see","you",5.99172970108972e-06
"got a call from",5,"got","a","call","from",2.1399034646749e-06
"got a lot of",12,"got","a","lot","of",5.13576831521976e-06
"got me thinking about",5,"got","me","thinking","about",2.1399034646749e-06
"got off to a",5,"got","off","to","a",2.1399034646749e-06
"got out of the",11,"got","out","of","the",4.70778762228478e-06
"got to be the",6,"got","to","be","the",2.56788415760988e-06
"great to meet you",11,"great","to","meet","you",4.70778762228478e-06
"great to see you",10,"great","to","see","you",4.2798069293498e-06
"great way to start",9,"great","way","to","start",3.85182623641482e-06
"had a bit of",5,"had","a","bit","of",2.1399034646749e-06
"had a chance to",15,"had","a","chance","to",6.4197103940247e-06
"had a couple of",5,"had","a","couple","of",2.1399034646749e-06
"had a good time",5,"had","a","good","time",2.1399034646749e-06
"had a great day",7,"had","a","great","day",2.99586485054486e-06
"had a great time",25,"had","a","great","time",1.06995173233745e-05
"had a lot of",20,"had","a","lot","of",8.55961385869961e-06
"had no idea what",12,"had","no","idea","what",5.13576831521976e-06
"had nothing to do",14,"had","nothing","to","do",5.99172970108972e-06
"had so much fun",7,"had","so","much","fun",2.99586485054486e-06
"had the chance to",7,"had","the","chance","to",2.99586485054486e-06
"had the opportunity to",8,"had","the","opportunity","to",3.42384554347984e-06
"had the pleasure of",9,"had","the","pleasure","of",3.85182623641482e-06
"had to do was",5,"had","to","do","was",2.1399034646749e-06
"had to go to",8,"had","to","go","to",3.42384554347984e-06
"hall of fame and",5,"hall","of","fame","and",2.1399034646749e-06
"hall of fame in",5,"hall","of","fame","in",2.1399034646749e-06
"happy birthday to me",9,"happy","birthday","to","me",3.85182623641482e-06
"happy birthday to my",10,"happy","birthday","to","my",4.2798069293498e-06
"happy birthday to the",7,"happy","birthday","to","the",2.99586485054486e-06
"happy cinco de mayo",6,"happy","cinco","de","mayo",2.56788415760988e-06
"happy first day of",5,"happy","first","day","of",2.1399034646749e-06
"happy for you and",5,"happy","for","you","and",2.1399034646749e-06
"happy mothers day i",5,"happy","mothers","day","i",2.1399034646749e-06
"happy mothers day to",30,"happy","mothers","day","to",1.28394207880494e-05
"happy new year to",5,"happy","new","year","to",2.1399034646749e-06
"happy th birthday to",5,"happy","th","birthday","to",2.1399034646749e-06
"hard it is to",8,"hard","it","is","to",3.42384554347984e-06
"hard to come by",7,"hard","to","come","by",2.99586485054486e-06
"hard to find a",5,"hard","to","find","a",2.1399034646749e-06
"has a lot of",14,"has","a","lot","of",5.99172970108972e-06
"has a lot to",6,"has","a","lot","to",2.56788415760988e-06
"has a way of",6,"has","a","way","of",2.56788415760988e-06
"has always been a",5,"has","always","been","a",2.1399034646749e-06
"has been a long",5,"has","been","a","long",2.1399034646749e-06
"has been a very",5,"has","been","a","very",2.1399034646749e-06
"has been charged with",6,"has","been","charged","with",2.56788415760988e-06
"has been going on",5,"has","been","going","on",2.1399034646749e-06
"has been in the",7,"has","been","in","the",2.99586485054486e-06
"has been one of",6,"has","been","one","of",2.56788415760988e-06
"has been part of",5,"has","been","part","of",2.1399034646749e-06
"has got to be",6,"has","got","to","be",2.56788415760988e-06
"has nothing to do",11,"has","nothing","to","do",4.70778762228478e-06
"has pleaded not guilty",5,"has","pleaded","not","guilty",2.1399034646749e-06
"has some of the",5,"has","some","of","the",2.1399034646749e-06
"has the potential to",7,"has","the","potential","to",2.99586485054486e-06
"has the power to",6,"has","the","power","to",2.56788415760988e-06
"has to be a",6,"has","to","be","a",2.56788415760988e-06
"has to be the",9,"has","to","be","the",3.85182623641482e-06
"has to do with",9,"has","to","do","with",3.85182623641482e-06
"have a bit of",5,"have","a","bit","of",2.1399034646749e-06
"have a blessed day",5,"have","a","blessed","day",2.1399034646749e-06
"have a bunch of",6,"have","a","bunch","of",2.56788415760988e-06
"have a chance to",14,"have","a","chance","to",5.99172970108972e-06
"have a few more",5,"have","a","few","more",2.1399034646749e-06
"have a good day",13,"have","a","good","day",5.56374900815474e-06
"have a good one",9,"have","a","good","one",3.85182623641482e-06
"have a good time",6,"have","a","good","time",2.56788415760988e-06
"have a good weekend",5,"have","a","good","weekend",2.1399034646749e-06
"have a great day",48,"have","a","great","day",2.05430732608791e-05
"have a great night",5,"have","a","great","night",2.1399034646749e-06
"have a great one",5,"have","a","great","one",2.1399034646749e-06
"have a great time",6,"have","a","great","time",2.56788415760988e-06
"have a great week",11,"have","a","great","week",4.70778762228478e-06
"have a great weekend",39,"have","a","great","weekend",1.66912470244642e-05
"have a lot of",51,"have","a","lot","of",2.1827015339684e-05
"have a lot to",5,"have","a","lot","to",2.1399034646749e-06
"have a problem with",8,"have","a","problem","with",3.42384554347984e-06
"have a right to",6,"have","a","right","to",2.56788415760988e-06
"have a sense of",6,"have","a","sense","of",2.56788415760988e-06
"have a wonderful weekend",6,"have","a","wonderful","weekend",2.56788415760988e-06
"have an amazing day",8,"have","an","amazing","day",3.42384554347984e-06
"have anything to do",6,"have","anything","to","do",2.56788415760988e-06
"have been a little",5,"have","been","a","little",2.1399034646749e-06
"have been able to",13,"have","been","able","to",5.56374900815474e-06
"have been waiting for",5,"have","been","waiting","for",2.1399034646749e-06
"have been working on",5,"have","been","working","on",2.1399034646749e-06
"have come to the",6,"have","come","to","the",2.56788415760988e-06
"have come up with",5,"have","come","up","with",2.1399034646749e-06
"have never been to",5,"have","never","been","to",2.1399034646749e-06
"have no choice but",5,"have","no","choice","but",2.1399034646749e-06
"have no idea how",11,"have","no","idea","how",4.70778762228478e-06
"have no idea what",17,"have","no","idea","what",7.27567177989467e-06
"have nothing to do",5,"have","nothing","to","do",2.1399034646749e-06
"have plenty of time",5,"have","plenty","of","time",2.1399034646749e-06
"have so much fun",5,"have","so","much","fun",2.1399034646749e-06
"have so much to",5,"have","so","much","to",2.1399034646749e-06
"have something to do",8,"have","something","to","do",3.42384554347984e-06
"have the ability to",11,"have","the","ability","to",4.70778762228478e-06
"have the chance to",9,"have","the","chance","to",3.85182623641482e-06
"have the opportunity to",10,"have","the","opportunity","to",4.2798069293498e-06
"have the potential to",5,"have","the","potential","to",2.1399034646749e-06
"have the power to",6,"have","the","power","to",2.56788415760988e-06
"have the right to",6,"have","the","right","to",2.56788415760988e-06
"have to admit i",5,"have","to","admit","i",2.1399034646749e-06
"have to admit it",5,"have","to","admit","it",2.1399034646749e-06
"have to be a",11,"have","to","be","a",4.70778762228478e-06
"have to be able",6,"have","to","be","able",2.56788415760988e-06
"have to be careful",5,"have","to","be","careful",2.1399034646749e-06
"have to be so",5,"have","to","be","so",2.1399034646749e-06
"have to come to",5,"have","to","come","to",2.1399034646749e-06
"have to do a",7,"have","to","do","a",2.99586485054486e-06
"have to do is",17,"have","to","do","is",7.27567177989467e-06
"have to do it",11,"have","to","do","it",4.70778762228478e-06
"have to do that",5,"have","to","do","that",2.1399034646749e-06
"have to do to",7,"have","to","do","to",2.99586485054486e-06
"have to do with",5,"have","to","do","with",2.1399034646749e-06
"have to find a",5,"have","to","find","a",2.1399034646749e-06
"have to get up",6,"have","to","get","up",2.56788415760988e-06
"have to go back",7,"have","to","go","back",2.99586485054486e-06
"have to go out",6,"have","to","go","out",2.56788415760988e-06
"have to go to",12,"have","to","go","to",5.13576831521976e-06
"have to have a",6,"have","to","have","a",2.56788415760988e-06
"have to look at",5,"have","to","look","at",2.1399034646749e-06
"have to make a",6,"have","to","make","a",2.56788415760988e-06
"have to pay for",8,"have","to","pay","for",3.42384554347984e-06
"have to say about",6,"have","to","say","about",2.56788415760988e-06
"have to say i",7,"have","to","say","i",2.99586485054486e-06
"have to say is",5,"have","to","say","is",2.1399034646749e-06
"have to say it",5,"have","to","say","it",2.1399034646749e-06
"have to say that",11,"have","to","say","that",4.70778762228478e-06
"have to take a",8,"have","to","take","a",3.42384554347984e-06
"have to think about",6,"have","to","think","about",2.56788415760988e-06
"have to wake up",6,"have","to","wake","up",2.56788415760988e-06
"have to worry about",16,"have","to","worry","about",6.84769108695968e-06
"have what it takes",6,"have","what","it","takes",2.56788415760988e-06
"have you read the",5,"have","you","read","the",2.1399034646749e-06
"havent been able to",7,"havent","been","able","to",2.99586485054486e-06
"havent been on twitter",5,"havent","been","on","twitter",2.1399034646749e-06
"having a hard time",7,"having","a","hard","time",2.99586485054486e-06
"he and his wife",5,"he","and","his","wife",2.1399034646749e-06
"he did not know",7,"he","did","not","know",2.99586485054486e-06
"he is going to",8,"he","is","going","to",3.42384554347984e-06
"he might have been",5,"he","might","have","been",2.1399034646749e-06
"he said he didnt",5,"he","said","he","didnt",2.1399034646749e-06
"he said he had",6,"he","said","he","had",2.56788415760988e-06
"he said he was",9,"he","said","he","was",3.85182623641482e-06
"he said he would",5,"he","said","he","would",2.1399034646749e-06
"he said i think",7,"he","said","i","think",2.99586485054486e-06
"he said if you",5,"he","said","if","you",2.1399034646749e-06
"he said in a",5,"he","said","in","a",2.1399034646749e-06
"he said it was",12,"he","said","it","was",5.13576831521976e-06
"he said its not",5,"he","said","its","not",2.1399034646749e-06
"he said with a",5,"he","said","with","a",2.1399034646749e-06
"he told me he",5,"he","told","me","he",2.1399034646749e-06
"he wants to do",6,"he","wants","to","do",2.56788415760988e-06
"he wants to make",5,"he","wants","to","make",2.1399034646749e-06
"he was able to",6,"he","was","able","to",2.56788415760988e-06
"he was at the",5,"he","was","at","the",2.1399034646749e-06
"he was born in",5,"he","was","born","in",2.1399034646749e-06
"he was going to",18,"he","was","going","to",7.70365247282965e-06
"he was in a",5,"he","was","in","a",2.1399034646749e-06
"he was in the",8,"he","was","in","the",3.42384554347984e-06
"he was one of",7,"he","was","one","of",2.99586485054486e-06
"he was pronounced dead",6,"he","was","pronounced","dead",2.56788415760988e-06
"he was talking about",6,"he","was","talking","about",2.56788415760988e-06
"he was the first",5,"he","was","the","first",2.1399034646749e-06
"he was the one",5,"he","was","the","one",2.1399034646749e-06
"he was trying to",5,"he","was","trying","to",2.1399034646749e-06
"he went to the",5,"he","went","to","the",2.1399034646749e-06
"he will be missed",6,"he","will","be","missed",2.56788415760988e-06
"he would have been",6,"he","would","have","been",2.56788415760988e-06
"health and human services",9,"health","and","human","services",3.85182623641482e-06
"help spread the word",6,"help","spread","the","word",2.56788415760988e-06
"her i love her",8,"her","i","love","her",3.42384554347984e-06
"her year old daughter",5,"her","year","old","daughter",2.1399034646749e-06
"here are a few",10,"here","are","a","few",4.2798069293498e-06
"here are some of",8,"here","are","some","of",3.42384554347984e-06
"here is a picture",5,"here","is","a","picture",2.1399034646749e-06
"hey thanks for the",5,"hey","thanks","for","the",2.1399034646749e-06
"highest form of capitalism",6,"highest","form","of","capitalism",2.56788415760988e-06
"him and his family",6,"him","and","his","family",2.56788415760988e-06
"him out of the",6,"him","out","of","the",2.56788415760988e-06
"his way to the",5,"his","way","to","the",2.1399034646749e-06
"home run of the",6,"home","run","of","the",2.56788415760988e-06
"hope all is well",20,"hope","all","is","well",8.55961385869961e-06
"hope everyone has a",12,"hope","everyone","has","a",5.13576831521976e-06
"hope everyone is having",10,"hope","everyone","is","having",4.2798069293498e-06
"hope to see you",35,"hope","to","see","you",1.49793242527243e-05
"hope you all had",8,"hope","you","all","had",3.42384554347984e-06
"hope you all have",9,"hope","you","all","have",3.85182623641482e-06
"hope you are having",6,"hope","you","are","having",2.56788415760988e-06
"hope you are well",6,"hope","you","are","well",2.56788415760988e-06
"hope you enjoy it",5,"hope","you","enjoy","it",2.1399034646749e-06
"hope you enjoyed your",5,"hope","you","enjoyed","your",2.1399034646749e-06
"hope you had a",20,"hope","you","had","a",8.55961385869961e-06
"hope you have a",29,"hope","you","have","a",1.24114400951144e-05
"hope you like it",7,"hope","you","like","it",2.99586485054486e-06
"hope youre having a",10,"hope","youre","having","a",4.2798069293498e-06
"hour and a half",11,"hour","and","a","half",4.70778762228478e-06
"house speaker john boehner",6,"house","speaker","john","boehner",2.56788415760988e-06
"how are you doing",10,"how","are","you","doing",4.2798069293498e-06
"how can i get",6,"how","can","i","get",2.56788415760988e-06
"how did it go",5,"how","did","it","go",2.1399034646749e-06
"how do i get",6,"how","do","i","get",2.56788415760988e-06
"how do you choose",5,"how","do","you","choose",2.1399034646749e-06
"how do you feel",7,"how","do","you","feel",2.99586485054486e-06
"how do you get",6,"how","do","you","get",2.56788415760988e-06
"how do you know",10,"how","do","you","know",4.2798069293498e-06
"how do you like",5,"how","do","you","like",2.1399034646749e-06
"how easy it is",6,"how","easy","it","is",2.56788415760988e-06
"how hard it is",7,"how","hard","it","is",2.99586485054486e-06
"how have you been",12,"how","have","you","been",5.13576831521976e-06
"how i feel about",13,"how","i","feel","about",5.56374900815474e-06
"how it turned out",5,"how","it","turned","out",2.1399034646749e-06
"how many of you",5,"how","many","of","you",2.1399034646749e-06
"how much do you",7,"how","much","do","you",2.99586485054486e-06
"how much i love",22,"how","much","i","love",9.41557524456957e-06
"how often do you",5,"how","often","do","you",2.1399034646749e-06
"how to deal with",6,"how","to","deal","with",2.56788415760988e-06
"how to do it",5,"how","to","do","it",2.1399034646749e-06
"how to make a",5,"how","to","make","a",2.1399034646749e-06
"how to write a",5,"how","to","write","a",2.1399034646749e-06
"how was your day",7,"how","was","your","day",2.99586485054486e-06
"huge thank you to",5,"huge","thank","you","to",2.1399034646749e-06
"hundreds of thousands of",10,"hundreds","of","thousands","of",4.2798069293498e-06
"hunter matt hunter matt",8,"hunter","matt","hunter","matt",3.42384554347984e-06
"i already have a",5,"i","already","have","a",2.1399034646749e-06
"i always want to",6,"i","always","want","to",2.56788415760988e-06
"i always wanted to",5,"i","always","wanted","to",2.1399034646749e-06
"i am able to",10,"i","am","able","to",4.2798069293498e-06
"i am excited to",6,"i","am","excited","to",2.56788415760988e-06
"i am going to",68,"i","am","going","to",2.91026871195787e-05
"i am in love",7,"i","am","in","love",2.99586485054486e-06
"i am in the",10,"i","am","in","the",4.2798069293498e-06
"i am looking forward",8,"i","am","looking","forward",3.42384554347984e-06
"i am no longer",6,"i","am","no","longer",2.56788415760988e-06
"i am not a",16,"i","am","not","a",6.84769108695968e-06
"i am not going",10,"i","am","not","going",4.2798069293498e-06
"i am not sure",15,"i","am","not","sure",6.4197103940247e-06
"i am pretty sure",5,"i","am","pretty","sure",2.1399034646749e-06
"i am ready to",5,"i","am","ready","to",2.1399034646749e-06
"i am so excited",13,"i","am","so","excited",5.56374900815474e-06
"i am so glad",6,"i","am","so","glad",2.56788415760988e-06
"i am so grateful",7,"i","am","so","grateful",2.99586485054486e-06
"i am so happy",10,"i","am","so","happy",4.2798069293498e-06
"i am so proud",10,"i","am","so","proud",4.2798069293498e-06
"i am so ready",5,"i","am","so","ready",2.1399034646749e-06
"i am supposed to",5,"i","am","supposed","to",2.1399034646749e-06
"i am sure there",5,"i","am","sure","there",2.1399034646749e-06
"i am thankful for",9,"i","am","thankful","for",3.85182623641482e-06
"i am the only",5,"i","am","the","only",2.1399034646749e-06
"i am thinking of",8,"i","am","thinking","of",3.42384554347984e-06
"i am trying to",14,"i","am","trying","to",5.99172970108972e-06
"i am very excited",5,"i","am","very","excited",2.1399034646749e-06
"i asked him if",5,"i","asked","him","if",2.1399034646749e-06
"i believe in the",7,"i","believe","in","the",2.99586485054486e-06
"i believe it is",7,"i","believe","it","is",2.99586485054486e-06
"i came up with",8,"i","came","up","with",3.42384554347984e-06
"i can do it",5,"i","can","do","it",2.1399034646749e-06
"i can do that",7,"i","can","do","that",2.99586485054486e-06
"i can do this",5,"i","can","do","this",2.1399034646749e-06
"i can no longer",5,"i","can","no","longer",2.1399034646749e-06
"i can see it",5,"i","can","see","it",2.1399034646749e-06
"i can see the",7,"i","can","see","the",2.99586485054486e-06
"i can see why",7,"i","can","see","why",2.99586485054486e-06
"i can talk to",5,"i","can","talk","to",2.1399034646749e-06
"i can tell you",18,"i","can","tell","you",7.70365247282965e-06
"i can think of",12,"i","can","think","of",5.13576831521976e-06
"i cannot wait to",6,"i","cannot","wait","to",2.56788415760988e-06
"i cant believe i",6,"i","cant","believe","i",2.56788415760988e-06
"i cant believe it",8,"i","cant","believe","it",3.42384554347984e-06
"i cant help but",12,"i","cant","help","but",5.13576831521976e-06
"i cant make it",5,"i","cant","make","it",2.1399034646749e-06
"i cant seem to",5,"i","cant","seem","to",2.1399034646749e-06
"i cant think of",6,"i","cant","think","of",2.56788415760988e-06
"i cant wait for",18,"i","cant","wait","for",7.70365247282965e-06
"i cant wait til",6,"i","cant","wait","til",2.56788415760988e-06
"i cant wait till",5,"i","cant","wait","till",2.1399034646749e-06
"i cant wait to",56,"i","cant","wait","to",2.39669188043589e-05
"i cant wait until",7,"i","cant","wait","until",2.99586485054486e-06
"i could be at",5,"i","could","be","at",2.1399034646749e-06
"i could feel my",5,"i","could","feel","my",2.1399034646749e-06
"i could find a",5,"i","could","find","a",2.1399034646749e-06
"i could get a",6,"i","could","get","a",2.56788415760988e-06
"i could go for",5,"i","could","go","for",2.1399034646749e-06
"i could go on",5,"i","could","go","on",2.1399034646749e-06
"i could have been",6,"i","could","have","been",2.56788415760988e-06
"i could really use",5,"i","could","really","use",2.1399034646749e-06
"i could say that",5,"i","could","say","that",2.1399034646749e-06
"i couldnt help but",5,"i","couldnt","help","but",2.1399034646749e-06
"i decided it was",5,"i","decided","it","was",2.1399034646749e-06
"i decided to go",6,"i","decided","to","go",2.56788415760988e-06
"i decided to make",8,"i","decided","to","make",3.42384554347984e-06
"i decided to take",11,"i","decided","to","take",4.70778762228478e-06
"i decided to try",5,"i","decided","to","try",2.1399034646749e-06
"i did not know",6,"i","did","not","know",2.56788415760988e-06
"i didnt even know",8,"i","didnt","even","know",3.42384554347984e-06
"i didnt get a",6,"i","didnt","get","a",2.56788415760988e-06
"i didnt have a",7,"i","didnt","have","a",2.99586485054486e-06
"i didnt have to",8,"i","didnt","have","to",3.42384554347984e-06
"i didnt know what",8,"i","didnt","know","what",3.42384554347984e-06
"i didnt know you",6,"i","didnt","know","you",2.56788415760988e-06
"i didnt see it",5,"i","didnt","see","it",2.1399034646749e-06
"i didnt want to",15,"i","didnt","want","to",6.4197103940247e-06
"i do have a",7,"i","do","have","a",2.99586485054486e-06
"i do not believe",7,"i","do","not","believe",2.99586485054486e-06
"i do not have",8,"i","do","not","have",3.42384554347984e-06
"i do not want",6,"i","do","not","want",2.56788415760988e-06
"i do what i",7,"i","do","what","i",2.99586485054486e-06
"i donknow how to",5,"i","donknow","how","to",2.1399034646749e-06
"i dont believe in",6,"i","dont","believe","in",2.56788415760988e-06
"i dont blame you",5,"i","dont","blame","you",2.1399034646749e-06
"i dont care if",8,"i","dont","care","if",3.42384554347984e-06
"i dont care what",8,"i","dont","care","what",3.42384554347984e-06
"i dont even know",23,"i","dont","even","know",9.84355593750455e-06
"i dont even want",5,"i","dont","even","want",2.1399034646749e-06
"i dont feel like",6,"i","dont","feel","like",2.56788415760988e-06
"i dont get it",8,"i","dont","get","it",3.42384554347984e-06
"i dont give a",8,"i","dont","give","a",3.42384554347984e-06
"i dont have a",19,"i","dont","have","a",8.13163316576463e-06
"i dont have an",5,"i","dont","have","an",2.1399034646749e-06
"i dont have any",15,"i","dont","have","any",6.4197103940247e-06
"i dont have time",7,"i","dont","have","time",2.99586485054486e-06
"i dont have to",22,"i","dont","have","to",9.41557524456957e-06
"i dont know about",11,"i","dont","know","about",4.70778762228478e-06
"i dont know but",5,"i","dont","know","but",2.1399034646749e-06
"i dont know how",19,"i","dont","know","how",8.13163316576463e-06
"i dont know i",9,"i","dont","know","i",3.85182623641482e-06
"i dont know if",32,"i","dont","know","if",1.36953821739194e-05
"i dont know the",7,"i","dont","know","the",2.99586485054486e-06
"i dont know what",33,"i","dont","know","what",1.41233628668544e-05
"i dont know where",5,"i","dont","know","where",2.1399034646749e-06
"i dont know why",21,"i","dont","know","why",8.98759455163459e-06
"i dont like the",5,"i","dont","like","the",2.1399034646749e-06
"i dont need to",6,"i","dont","need","to",2.56788415760988e-06
"i dont really know",6,"i","dont","really","know",2.56788415760988e-06
"i dont see it",6,"i","dont","see","it",2.56788415760988e-06
"i dont think anyone",6,"i","dont","think","anyone",2.56788415760988e-06
"i dont think he",5,"i","dont","think","he",2.1399034646749e-06
"i dont think i",19,"i","dont","think","i",8.13163316576463e-06
"i dont think it",5,"i","dont","think","it",2.1399034646749e-06
"i dont think ive",6,"i","dont","think","ive",2.56788415760988e-06
"i dont think so",6,"i","dont","think","so",2.56788415760988e-06
"i dont think that",5,"i","dont","think","that",2.1399034646749e-06
"i dont think the",5,"i","dont","think","the",2.1399034646749e-06
"i dont think we",7,"i","dont","think","we",2.99586485054486e-06
"i dont think you",5,"i","dont","think","you",2.1399034646749e-06
"i dont wanna be",7,"i","dont","wanna","be",2.99586485054486e-06
"i dont want a",5,"i","dont","want","a",2.1399034646749e-06
"i dont want to",54,"i","dont","want","to",2.31109574184889e-05
"i ended up with",7,"i","ended","up","with",2.99586485054486e-06
"i feel like a",12,"i","feel","like","a",5.13576831521976e-06
"i feel like i",29,"i","feel","like","i",1.24114400951144e-05
"i feel like im",21,"i","feel","like","im",8.98759455163459e-06
"i feel like it",5,"i","feel","like","it",2.1399034646749e-06
"i feel like ive",9,"i","feel","like","ive",3.85182623641482e-06
"i feel like my",7,"i","feel","like","my",2.99586485054486e-06
"i feel like the",8,"i","feel","like","the",3.42384554347984e-06
"i feel that i",7,"i","feel","that","i",2.99586485054486e-06
"i fell in love",6,"i","fell","in","love",2.56788415760988e-06
"i felt like i",16,"i","felt","like","i",6.84769108695968e-06
"i found that i",5,"i","found","that","i",2.1399034646749e-06
"i get a rt",8,"i","get","a","rt",3.42384554347984e-06
"i get back from",5,"i","get","back","from",2.1399034646749e-06
"i get out of",6,"i","get","out","of",2.56788415760988e-06
"i get to see",7,"i","get","to","see",2.99586485054486e-06
"i go back to",6,"i","go","back","to",2.56788415760988e-06
"i going to do",5,"i","going","to","do",2.1399034646749e-06
"i got a lot",5,"i","got","a","lot",2.1399034646749e-06
"i got to see",6,"i","got","to","see",2.56788415760988e-06
"i got to the",8,"i","got","to","the",3.42384554347984e-06
"i grew up in",9,"i","grew","up","in",3.85182623641482e-06
"i guess you could",5,"i","guess","you","could",2.1399034646749e-06
"i had a dream",8,"i","had","a","dream",3.42384554347984e-06
"i had a good",7,"i","had","a","good",2.99586485054486e-06
"i had a great",7,"i","had","a","great",2.99586485054486e-06
"i had a lot",6,"i","had","a","lot",2.56788415760988e-06
"i had no idea",21,"i","had","no","idea",8.98759455163459e-06
"i had to do",10,"i","had","to","do",4.2798069293498e-06
"i had to get",6,"i","had","to","get",2.56788415760988e-06
"i had to go",8,"i","had","to","go",3.42384554347984e-06
"i had to take",7,"i","had","to","take",2.99586485054486e-06
"i had to use",5,"i","had","to","use",2.1399034646749e-06
"i hate it when",10,"i","hate","it","when",4.2798069293498e-06
"i hate when people",5,"i","hate","when","people",2.1399034646749e-06
"i have a feeling",12,"i","have","a","feeling",5.13576831521976e-06
"i have a few",8,"i","have","a","few",3.42384554347984e-06
"i have a good",5,"i","have","a","good",2.1399034646749e-06
"i have a little",5,"i","have","a","little",2.1399034646749e-06
"i have a lot",18,"i","have","a","lot",7.70365247282965e-06
"i have a new",5,"i","have","a","new",2.1399034646749e-06
"i have a question",6,"i","have","a","question",2.56788415760988e-06
"i have all the",5,"i","have","all","the",2.1399034646749e-06
"i have always been",7,"i","have","always","been",2.99586485054486e-06
"i have an idea",6,"i","have","an","idea",2.56788415760988e-06
"i have been a",6,"i","have","been","a",2.56788415760988e-06
"i have been in",5,"i","have","been","in",2.1399034646749e-06
"i have been reading",5,"i","have","been","reading",2.1399034646749e-06
"i have been working",6,"i","have","been","working",2.56788415760988e-06
"i have decided to",9,"i","have","decided","to",3.85182623641482e-06
"i have ever had",7,"i","have","ever","had",2.99586485054486e-06
"i have ever seen",7,"i","have","ever","seen",2.99586485054486e-06
"i have got to",5,"i","have","got","to",2.1399034646749e-06
"i have had a",6,"i","have","had","a",2.56788415760988e-06
"i have had the",5,"i","have","had","the",2.1399034646749e-06
"i have never been",8,"i","have","never","been",3.42384554347984e-06
"i have never seen",6,"i","have","never","seen",2.56788415760988e-06
"i have no clue",5,"i","have","no","clue",2.1399034646749e-06
"i have no doubt",6,"i","have","no","doubt",2.56788415760988e-06
"i have no idea",28,"i","have","no","idea",1.19834594021794e-05
"i have not been",6,"i","have","not","been",2.56788415760988e-06
"i have nothing to",5,"i","have","nothing","to",2.1399034646749e-06
"i have so many",7,"i","have","so","many",2.99586485054486e-06
"i have so much",11,"i","have","so","much",4.70778762228478e-06
"i have the same",7,"i","have","the","same",2.99586485054486e-06
"i have to admit",14,"i","have","to","admit",5.99172970108972e-06
"i have to ask",5,"i","have","to","ask",2.1399034646749e-06
"i have to be",14,"i","have","to","be",5.99172970108972e-06
"i have to do",17,"i","have","to","do",7.27567177989467e-06
"i have to get",13,"i","have","to","get",5.56374900815474e-06
"i have to go",15,"i","have","to","go",6.4197103940247e-06
"i have to say",38,"i","have","to","say",1.62632663315293e-05
"i have to work",6,"i","have","to","work",2.56788415760988e-06
"i have yet to",10,"i","have","yet","to",4.2798069293498e-06
"i havent been able",5,"i","havent","been","able",2.1399034646749e-06
"i havent been on",7,"i","havent","been","on",2.99586485054486e-06
"i havent had a",6,"i","havent","had","a",2.56788415760988e-06
"i hope everyone has",6,"i","hope","everyone","has",2.56788415760988e-06
"i hope i can",10,"i","hope","i","can",4.2798069293498e-06
"i hope that you",6,"i","hope","that","you",2.56788415760988e-06
"i hope to be",5,"i","hope","to","be",2.1399034646749e-06
"i hope to see",5,"i","hope","to","see",2.1399034646749e-06
"i hope you all",9,"i","hope","you","all",3.85182623641482e-06
"i hope you are",6,"i","hope","you","are",2.56788415760988e-06
"i hope you enjoy",10,"i","hope","you","enjoy",4.2798069293498e-06
"i hope you have",14,"i","hope","you","have",5.99172970108972e-06
"i hope you like",5,"i","hope","you","like",2.1399034646749e-06
"i just dont know",7,"i","just","dont","know",2.99586485054486e-06
"i just dont want",10,"i","just","dont","want",4.2798069293498e-06
"i just finished a",12,"i","just","finished","a",5.13576831521976e-06
"i just found out",5,"i","just","found","out",2.1399034646749e-06
"i just had a",7,"i","just","had","a",2.99586485054486e-06
"i just had to",9,"i","just","had","to",3.85182623641482e-06
"i just happened to",6,"i","just","happened","to",2.56788415760988e-06
"i just have to",5,"i","just","have","to",2.1399034646749e-06
"i just love it",5,"i","just","love","it",2.1399034646749e-06
